id,mode,k,n,pruning_count,pruning_edges,local_decisions,local_base_count,local_valid_count,local_base_dim,local_valid_dim,base_is_affine_subspace,valid_is_affine_subspace,base_affine_hull_rank,valid_affine_hull_rank,full_base_stabilizer_rank,full_valid_stabilizer_rank,full_valid_rank_matches,edge_rule_base_generator_rank,edge_rule_valid_generator_rank,predicted_valid_by_edge_rule,edge_rule_rank_matches,edge_rule_rank_matches_full_valid,full_valid_stabilizer_in_edge_rule_span,violation_kernel_valid_rank,violation_kernel_valid_formula_rank,violation_kernel_formula_rank_matches_masks,predicted_valid_by_violation_kernel,violation_kernel_rank_matches,violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_violation_kernel_span,labelled_violation_kernel_valid_rank,labelled_violation_kernel_valid_formula_rank,labelled_violation_kernel_formula_rank_matches_masks,predicted_valid_by_labelled_violation_kernel,labelled_violation_kernel_rank_matches,labelled_violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_labelled_violation_kernel_span,graph_valid_span_rank,graph_valid_span_rank_matches,graph_valid_rank_matches_full_valid,decisions,fix_union,edge_rule_base_generators,edge_rule_valid_generators,edge_rule_valid_span_masks,violation_kernel_valid_masks,labelled_violation_kernel_valid_masks,full_valid_stabilizer_masks,base_cliques,base_clique_transitions,base_clique_overlaps,local_base_cliques,local_base_clique_transitions,local_base_clique_overlaps,local_base_clique_paths,local_base_clique_max_path
ddgp-p2-n12-0001,ddgp,3,12,2,2-7;5-7,3,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7}","{1,2,3,4,5,6,7}","{7}@{1,3,6}:base-clique;{7}@{1,3,6}:cone",,{},{},{},{},8,10,9,6,6,6,9,2
ddgp-p2-n12-0002,ddgp,3,12,2,2-8;5-11,4,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,8,9,11}","{1,2,3,4,5,8,9,11}","{11}@{4,8,9}:base-clique;{11}@{4,8,9}:cone",,{},{},{},{},7,7,3,5,5,1,6,2
ddgp-p2-n12-0003,ddgp,3,12,2,3-7;7-9,4,1,1,0,0,True,True,0,0,0,0,True,0,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,9}","{1,2,3,4,5,6,7,9}",,,{},{},{},{},8,8,6,7,7,5,15,3
ddgp-p2-n12-0004,ddgp,3,12,2,2-9;3-7,5,8,2,3,1,True,True,3,1,3,1,True,3,1,2,True,True,True,1,1,True,2,True,True,True,1,1,True,2,True,True,True,1,True,True,"{5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}","{9}@{3,4,8}:base-clique;{9}@{3,4,8}:cone;{8,9}@{2,3,4}:cone;{7}@{1,5,6}:base-clique;{7}@{1,5,6}:cone","{8,9}@{2,3,4}:cone","{};{8,9}","{};{8,9}","{};{8,9}","{};{8,9}",7,7,8,5,4,4,4,1
ddgp-p2-n12-0005,ddgp,3,12,2,2-12;4-11,5,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,7,8,11,12}","{1,2,3,4,5,7,8,11,12}","{12}@{1,3,11}:base-clique;{12}@{1,3,11}:cone",,{},{},{},{},7,8,4,5,4,3,8,3
ddgp-p2-n12-0006,ddgp,3,12,2,1-7;1-12,7,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,10,11,12}","{1,2,3,4,5,6,7,8,10,11,12}","{12}@{3,8,11}:base-clique;{12}@{3,8,11}:cone",,{},{},{},{},7,9,4,7,9,4,20,4
ddgp-p2-n12-0007,ddgp,3,12,2,6-8;9-12,7,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9,11,12}","{1,2,3,4,5,6,7,8,9,11,12}","{12}@{3,8,11}:base-clique;{12}@{3,8,11}:cone;{9}@{2,3,6}:base-clique;{9}@{2,3,6}:cone",,{},"{};{9,12}",{},{},8,11,7,8,11,7,39,5
ddgp-p2-n12-0008,ddgp,3,12,2,1-10;2-12,7,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9,10,12}","{1,2,3,4,5,6,7,8,9,10,12}","{12}@{3,4,9}:base-clique;{12}@{3,4,9}:cone;{10}@{2,6,9}:base-clique;{10}@{2,6,9}:cone",,{},{},{},{},8,9,9,8,9,9,28,5
ddgp-p2-n12-0009,ddgp,3,12,2,5-10;7-8,6,8,1,3,0,True,True,3,0,3,0,True,3,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9,10}","{1,2,3,4,5,6,7,8,9,10}","{10}@{1,3,9}:base-clique;{10}@{1,3,9}:cone;{8}@{1,4,5}:base-clique;{8}@{1,4,5}:cone;{7}@{2,4,5}:base-clique;{7}@{2,4,5}:cone",,{},"{};{7,8}",{},{},6,6,5,5,4,4,5,2
ddgp-p2-n12-0010,ddgp,3,12,2,3-12;9-12,7,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9,10,12}","{1,2,3,4,5,6,7,8,9,10,12}","{12}@{2,6,10}:base-clique;{12}@{2,6,10}:cone",,{},{},{},{},8,10,4,8,10,4,26,4
