id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-last-seed-0001,ddgp,2,10,1,3-10,"{1,2,3,7,10}","{7,10}",2,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{1,7}:base-clique;{10}@{1,7}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0002,ddgp,2,10,1,1-10,"{1,2,3,4,5,6,7,8,9,10}","{4,5,6,7,8,9,10}",7,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{8,9}:base-clique;{10}@{8,9}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0003,ddgp,2,10,1,1-10,"{1,2,3,6,7,10}","{6,7,10}",3,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{6,7}:base-clique;{10}@{6,7}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0004,ddgp,2,10,1,3-10,"{1,2,3,4,5,6,9,10}","{4,5,6,9,10}",5,6,3,8,0,0,1,3,3,3,0,1,True,"{10}@{4,9}:base-clique;{10}@{4,9}:cone;{9,10}@{4,6}:base-clique;{9,10}@{4,6}:cone;{5,6,9,10}@{1,4}:base-clique;{5,6,9,10}@{1,4}:cone",,8,1,3,0,True,True,True
ddgp-last-seed-0005,ddgp,2,10,1,2-10,"{2,3,4,5,7,10}","{4,5,7,10}",4,8,4,16,6,3,8,1,1,4,3,8,True,"{10}@{5,7}:base-clique;{10}@{5,7}:cone;{7,10}@{2,5}:base-clique;{7,10}@{2,5}:cone;{5,7,10}@{2,4}:base-clique;{5,7,10}@{2,4}:cone;{4,5,7,10}@{2,3}:base-clique;{4,5,7,10}@{2,3}:cone","{7,10}@{2,5}:base-clique;{7,10}@{2,5}:cone;{5,7,10}@{2,4}:base-clique;{5,7,10}@{2,4}:cone;{4,5,7,10}@{2,3}:base-clique;{4,5,7,10}@{2,3}:cone",16,8,4,3,True,True,True
ddgp-last-seed-0006,ddgp,2,10,1,2-10,"{2,3,4,9,10}","{4,9,10}",3,6,3,8,2,1,2,2,2,3,1,2,True,"{10}@{4,9}:base-clique;{10}@{4,9}:cone;{9,10}@{3,4}:base-clique;{9,10}@{3,4}:cone;{4,9,10}@{2,3}:base-clique;{4,9,10}@{2,3}:cone","{4,9,10}@{2,3}:base-clique;{4,9,10}@{2,3}:cone",8,2,3,1,True,True,True
ddgp-last-seed-0007,ddgp,2,10,1,2-10,"{1,2,3,5,6,7,9,10}","{5,6,7,9,10}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{7,9}:base-clique;{10}@{7,9}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0008,ddgp,2,10,1,1-10,"{1,2,3,4,6,7,9,10}","{4,6,7,9,10}",5,4,2,4,0,0,1,2,2,2,0,1,True,"{10}@{2,9}:base-clique;{10}@{2,9}:cone;{9,10}@{2,7}:base-clique;{9,10}@{2,7}:cone",,4,1,2,0,True,True,True
ddgp-last-seed-0009,ddgp,2,10,1,2-10,"{1,2,3,4,5,8,10}","{4,5,8,10}",4,3,2,4,0,0,1,2,2,2,0,1,True,"{10}@{5,8}:base-clique;{10}@{5,8}:cone;{4,5,8,10}@{1,3}:base-clique",,4,1,2,0,True,True,True
ddgp-last-seed-0010,ddgp,2,10,1,1-10,"{1,2,3,4,7,8,9,10}","{4,7,8,9,10}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{2,9}:base-clique;{10}@{2,9}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0011,ddgp,2,10,1,3-10,"{1,2,3,4,6,10}","{4,6,10}",3,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{2,6}:base-clique;{10}@{2,6}:cone",,2,1,1,0,True,True,True
ddgp-last-seed-0012,ddgp,2,10,1,3-10,"{2,3,4,5,7,10}","{4,5,7,10}",4,3,2,4,1,1,2,1,1,2,1,2,True,"{10}@{5,7}:base-clique;{10}@{5,7}:cone;{4,5,7,10}@{2,3}:base-clique","{4,5,7,10}@{2,3}:base-clique",4,2,2,1,True,True,True
