id,mode,k,n,pruning_count,pruning_edges,local_decisions,local_base_count,local_valid_count,local_base_dim,local_valid_dim,base_is_affine_subspace,valid_is_affine_subspace,base_affine_hull_rank,valid_affine_hull_rank,full_base_stabilizer_rank,full_valid_stabilizer_rank,full_valid_rank_matches,edge_rule_base_generator_rank,edge_rule_valid_generator_rank,predicted_valid_by_edge_rule,edge_rule_rank_matches,edge_rule_rank_matches_full_valid,full_valid_stabilizer_in_edge_rule_span,violation_kernel_valid_rank,violation_kernel_valid_formula_rank,violation_kernel_formula_rank_matches_masks,predicted_valid_by_violation_kernel,violation_kernel_rank_matches,violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_violation_kernel_span,labelled_violation_kernel_valid_rank,labelled_violation_kernel_valid_formula_rank,labelled_violation_kernel_formula_rank_matches_masks,predicted_valid_by_labelled_violation_kernel,labelled_violation_kernel_rank_matches,labelled_violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_labelled_violation_kernel_span,graph_valid_span_rank,graph_valid_span_rank_matches,graph_valid_rank_matches_full_valid,decisions,fix_union,edge_rule_base_generators,edge_rule_valid_generators,edge_rule_valid_span_masks,violation_kernel_valid_masks,labelled_violation_kernel_valid_masks,full_valid_stabilizer_masks,base_cliques,base_clique_transitions,base_clique_overlaps,local_base_cliques,local_base_clique_transitions,local_base_clique_overlaps,local_base_clique_paths,local_base_clique_max_path
ddgp-p2-n9-0001,ddgp,3,9,2,1-9;7-9,5,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}","{9}@{2,3,8}:base-clique;{9}@{2,3,8}:cone",,{},{},{},{},5,4,1,5,4,1,10,4
ddgp-p2-n9-0002,ddgp,3,9,2,3-7;3-8,4,1,1,0,0,True,True,0,0,0,0,True,0,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}",,,{},{},{},{},5,5,2,5,5,2,12,4
ddgp-p2-n9-0003,ddgp,3,9,2,5-7;5-8,4,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{2,3,4}:base-clique;{8}@{2,3,4}:cone",,{},{},{},{},5,3,3,5,3,3,6,3
ddgp-p2-n9-0004,ddgp,3,9,2,3-5;6-8,4,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{2,3,7}:base-clique;{8}@{2,3,7}:cone;{5}@{1,2,4}:cone",,{},{},{},{},4,3,3,4,3,3,3,1
ddgp-p2-n9-0005,ddgp,3,9,2,1-8;5-7,4,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{3,5,6}:base-clique;{8}@{3,5,6}:cone;{7}@{1,3,6}:base-clique;{7}@{1,3,6}:cone",,{},{},{},{},5,4,4,5,4,4,4,1
ddgp-p2-n9-0006,ddgp,3,9,2,2-9;3-7,4,8,1,3,0,True,True,3,0,3,0,True,3,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,9}","{1,2,3,4,5,6,7,9}","{9}@{4,5,6}:base-clique;{9}@{4,5,6}:cone;{7}@{1,5,6}:base-clique;{7}@{1,5,6}:cone;{5,6,7,9}@{1,2,4}:base-clique",,{},"{};{5,6,9}",{},{},4,3,3,4,3,3,3,1
ddgp-p2-n9-0007,ddgp,3,9,2,1-7;2-8,4,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{5,6,7}:base-clique;{8}@{5,6,7}:cone",,{},{},{},{},4,5,0,4,5,0,9,3
ddgp-p2-n9-0008,ddgp,3,9,2,3-8;6-8,4,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{1,5,7}:base-clique;{8}@{1,5,7}:cone",,{},{},{},{},5,5,2,5,5,2,10,3
ddgp-p2-n9-0009,ddgp,3,9,2,2-5;4-9,3,8,2,3,1,True,True,3,1,3,1,True,3,1,2,True,True,True,1,1,True,2,True,True,True,1,1,True,2,True,True,True,1,True,True,"{5,6,9}","{1,2,3,4,5,6,9}","{9}@{3,5,6}:base-clique;{9}@{3,5,6}:cone;{6,9}@{3,4,5}:base-clique;{6,9}@{3,4,5}:cone;{5,6,9}@{1,3,4}:base-clique;{5,6,9}@{1,3,4}:cone","{6,9}@{3,4,5}:base-clique;{6,9}@{3,4,5}:cone","{};{6,9}","{};{6,9}","{};{6,9}","{};{6,9}",4,3,3,4,3,3,4,2
ddgp-p2-n9-0010,ddgp,3,9,2,2-6;6-8,4,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{5,6,7,8}","{1,2,3,4,5,6,7,8}","{8}@{2,5,7}:base-clique;{8}@{2,5,7}:cone;{6}@{1,3,5}:base-clique;{6}@{1,3,5}:cone",,{},{},{},{},5,5,3,5,5,3,5,1
