id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p3-n8-0078,ddgp,2,8,3,4-5;6-7;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,4,3,8,0,0,1,4,3,3,0,1,True,"{8}@{5,7}:base-clique;{8}@{5,7}:cone;{6}@{1,2}:cone;{4}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p3-n8-0079,ddgp,2,8,3,1-6;1-8;4-5,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,4,3,8,0,0,1,3,3,3,0,1,True,"{8}@{3,5}:cone;{6}@{3,5}:cone;{6,8}@{3,5}:base-clique;{4}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p3-n8-0080,ddgp,2,8,3,1-6;5-6;6-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,3,2,4,0,0,1,5,2,2,0,1,True,"{6}@{2,3}:base-clique;{6}@{2,3}:cone;{4,5,7}@{1,3}:base-clique",,4,1,2,0,True,True,True
ddgp-p3-n8-0081,ddgp,2,8,3,2-5;3-4;3-6,"{1,2,3,4,5,6}","{4,5,6}",3,0,0,1,0,0,1,0,0,0,0,1,True,,,1,1,0,0,True,True,True
ddgp-p3-n8-0082,ddgp,2,8,3,1-6;1-7;4-5,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,5,3,8,0,0,1,4,3,3,0,1,True,"{7}@{2,3}:cone;{5}@{1,3}:base-clique;{5}@{1,3}:cone;{4,6}@{2,3}:cone;{4,6,7}@{2,3}:base-clique",,8,1,3,0,True,True,True
ddgp-p3-n8-0083,ddgp,2,8,3,2-7;6-7;6-8,"{1,2,3,4,6,7,8}","{4,6,7,8}",4,7,4,16,0,0,1,7,4,4,0,1,True,"{8}@{3,4}:cone;{7}@{3,4}:cone;{7,8}@{3,4}:base-clique;{6}@{1,3}:base-clique;{6}@{1,3}:cone;{4,7,8}@{2,3}:base-clique;{4,7,8}@{2,3}:cone",,16,1,4,0,True,True,True
ddgp-p3-n8-0084,ddgp,2,8,3,3-4;6-7;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,4,3,8,0,0,1,3,3,3,0,1,True,"{8}@{3,5}:base-clique;{8}@{3,5}:cone;{7}@{2,4}:cone;{6}@{2,4}:cone",,8,1,3,0,True,True,True
ddgp-p3-n8-0085,ddgp,2,8,3,3-7;4-5;6-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,1,1,2,0,0,1,1,1,1,0,1,True,"{6}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-p3-n8-0086,ddgp,2,8,3,2-8;4-6;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,5,3,8,0,0,1,6,3,3,0,1,True,"{8}@{4,7}:base-clique;{8}@{4,7}:cone;{7,8}@{3,4}:cone;{6}@{2,5}:base-clique;{6}@{2,5}:cone",,8,1,3,0,True,True,True
ddgp-p3-n8-0087,ddgp,2,8,3,2-7;3-8;5-7,"{1,2,3,4,5,7,8}","{4,5,7,8}",4,8,4,16,0,0,1,7,4,4,0,1,True,"{8}@{4,5}:base-clique;{8}@{4,5}:cone;{7}@{1,3}:base-clique;{7}@{1,3}:cone;{5,8}@{1,4}:base-clique;{5,8}@{1,4}:cone;{4,5,8}@{1,2}:base-clique;{4,5,8}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-p3-n8-0088,ddgp,2,8,3,1-6;2-7;4-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,4,2,4,0,0,1,3,2,2,0,1,True,"{7}@{1,5}:base-clique;{7}@{1,5}:cone;{6}@{4,5}:base-clique;{6}@{4,5}:cone",,4,1,2,0,True,True,True
