id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p4-n12-0035,ddgp,2,12,4,4-11;5-7;5-12;6-8,"{1,2,3,4,5,6,7,8,11,12}","{4,5,6,7,8,11,12}",7,8,5,32,0,0,1,5,5,5,0,1,True,"{12}@{1,2}:base-clique;{12}@{1,2}:cone;{11}@{2,6}:base-clique;{11}@{2,6}:cone;{8}@{2,3}:cone;{7}@{1,3}:cone;{5}@{1,3}:cone;{5,7}@{1,3}:base-clique",,32,1,5,0,True,True,True
ddgp-p4-n12-0036,ddgp,2,12,4,2-11;6-12;7-9;7-10,"{1,2,3,4,5,6,7,9,10,11,12}","{4,5,6,7,9,10,11,12}",8,6,3,8,0,0,1,4,3,3,0,1,True,"{12}@{4,10}:base-clique;{12}@{4,10}:cone;{11}@{9,10}:base-clique;{11}@{9,10}:cone;{7}@{3,6}:base-clique;{7}@{3,6}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0037,ddgp,2,12,4,5-10;8-10;9-12;10-12,"{1,2,3,4,5,6,7,8,9,10,12}","{4,5,6,7,8,9,10,12}",8,4,2,4,0,0,1,3,2,2,0,1,True,"{12}@{1,7}:base-clique;{12}@{1,7}:cone;{5}@{3,4}:base-clique;{5}@{3,4}:cone",,4,1,2,0,True,True,True
ddgp-p4-n12-0038,ddgp,2,12,4,1-6;1-7;4-11;8-9,"{1,2,3,4,5,6,7,8,9,11}","{4,5,6,7,8,9,11}",7,6,3,8,0,0,1,4,3,3,0,1,True,"{11}@{2,5}:base-clique;{11}@{2,5}:cone;{9}@{6,7}:base-clique;{9}@{6,7}:cone;{7,9}@{3,6}:base-clique;{7,9}@{3,6}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0039,ddgp,2,12,4,1-5;2-9;2-12;5-7,"{1,2,3,4,5,6,7,9,12}","{4,5,6,7,9,12}",6,6,3,8,0,0,1,4,3,3,0,1,True,"{12}@{6,9}:base-clique;{12}@{6,9}:cone;{9,12}@{1,6}:base-clique;{9,12}@{1,6}:cone;{7}@{4,6}:base-clique;{7}@{4,6}:cone",,8,1,3,0,True,True,True
ddgp-p4-n12-0040,ddgp,2,12,4,3-11;6-10;8-9;9-12,"{1,2,3,4,5,6,7,8,9,10,11,12}","{4,5,6,7,8,9,10,11,12}",9,7,5,32,0,0,1,6,5,5,0,1,True,"{12}@{1,11}:base-clique;{12}@{1,11}:cone;{10}@{4,5}:base-clique;{10}@{4,5}:cone;{9}@{2,3}:cone;{8}@{1,2}:cone;{6}@{3,4}:cone",,32,1,5,0,True,True,True
ddgp-p4-n12-0041,ddgp,2,12,4,1-11;2-8;2-12;6-7,"{1,2,3,4,5,6,7,8,9,11,12}","{4,5,6,7,8,9,11,12}",8,2,1,2,0,0,1,1,1,1,0,1,True,"{12}@{8,11}:base-clique;{12}@{8,11}:cone",,2,1,1,0,True,True,True
ddgp-p4-n12-0042,ddgp,2,12,4,1-10;3-5;5-11;8-12,"{1,2,3,4,5,7,8,10,11,12}","{4,5,7,8,10,11,12}",7,8,4,16,0,0,1,4,4,4,0,1,True,"{12}@{3,4}:base-clique;{12}@{3,4}:cone;{11}@{2,7}:base-clique;{11}@{2,7}:cone;{10}@{3,8}:base-clique;{10}@{3,8}:cone;{7,11}@{1,2}:base-clique;{7,11}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-p4-n12-0043,ddgp,2,12,4,7-11;8-9;9-10;10-12,"{1,2,3,4,6,7,8,9,10,11,12}","{4,6,7,8,9,10,11,12}",8,10,5,32,0,0,1,8,5,5,0,1,True,"{12}@{2,6}:base-clique;{12}@{2,6}:cone;{11}@{6,9}:base-clique;{11}@{6,9}:cone;{10}@{3,4}:base-clique;{10}@{3,4}:cone;{8}@{2,4}:base-clique;{8}@{2,4}:cone;{4,8,10}@{2,3}:base-clique;{4,8,10}@{2,3}:cone",,32,1,5,0,True,True,True
ddgp-p4-n12-0044,ddgp,2,12,4,2-6;2-9;3-7;7-9,"{1,2,3,4,5,6,7,9}","{4,5,6,7,9}",5,1,1,2,0,0,1,2,1,1,0,1,True,"{9}@{1,3}:cone",,2,1,1,0,True,True,True
