id,mode,pruning_kind,k,n,pruning_edge,raw_count,base_count,valid_count,removed_by_pruning,valid_fraction_of_base,outside_choices,outside_factor,normalized_base_count,normalized_valid_count,local_raw_count,local_base_count,local_valid_count,local_removed_by_pruning,local_valid_fraction_of_base,fix_u_size,fix_v_size,fix_union_size,fix_intersection_size,fix_symdiff_size,union_choices,intersection_choices,symdiff_choices,fix_u,fix_v,fix_union,fix_intersection,fix_symdiff
ddgp-last-seed-0001,ddgp,last-seed,2,11,1-11,256,16,8,8,0.5,4,16,1.0,0.5,16,2,1,1,0.5,1,6,7,0,7,4,0,4,{1},"{2,3,4,7,10,11}","{1,2,3,4,7,10,11}",{},"{1,2,3,4,7,10,11}"
ddgp-last-seed-0002,ddgp,last-seed,2,11,2-11,256,32,16,16,0.5,6,64,0.5,0.25,4,4,2,2,0.5,1,4,4,1,3,2,0,2,{2},"{2,3,10,11}","{2,3,10,11}",{2},"{3,10,11}"
ddgp-last-seed-0003,ddgp,last-seed,2,11,1-11,256,256,128,128,0.5,7,128,2.0,1.0,2,2,1,1,0.5,1,3,4,0,4,1,0,1,{1},"{2,3,11}","{1,2,3,11}",{},"{1,2,3,11}"
ddgp-last-seed-0004,ddgp,last-seed,2,11,3-11,256,256,64,192,0.25,5,32,8.0,2.0,8,8,2,6,0.25,1,5,5,1,4,3,0,3,{3},"{2,3,4,5,11}","{2,3,4,5,11}",{3},"{2,4,5,11}"
ddgp-last-seed-0005,ddgp,last-seed,2,11,3-11,256,16,8,8,0.5,4,16,1.0,0.5,16,2,1,1,0.5,1,7,7,1,6,4,0,4,{3},"{1,2,3,4,8,10,11}","{1,2,3,4,8,10,11}",{3},"{1,2,4,8,10,11}"
ddgp-last-seed-0006,ddgp,last-seed,2,11,3-11,256,16,8,8,0.5,6,64,0.25,0.125,4,2,1,1,0.5,1,5,5,1,4,2,0,2,{3},"{1,2,3,4,11}","{1,2,3,4,11}",{3},"{1,2,4,11}"
ddgp-last-seed-0007,ddgp,last-seed,2,11,2-11,256,32,8,24,0.25,3,8,4.0,1.0,32,4,1,3,0.25,1,8,8,1,7,5,0,5,{2},"{1,2,3,4,5,6,8,11}","{1,2,3,4,5,6,8,11}",{2},"{1,3,4,5,6,8,11}"
ddgp-last-seed-0008,ddgp,last-seed,2,11,3-11,256,64,32,32,0.5,6,64,1.0,0.5,4,4,2,2,0.5,1,4,4,1,3,2,0,2,{3},"{2,3,8,11}","{2,3,8,11}",{3},"{2,8,11}"
ddgp-last-seed-0009,ddgp,last-seed,2,11,2-11,256,4,2,2,0.5,3,8,0.5,0.25,32,2,1,1,0.5,1,8,8,1,7,5,0,5,{2},"{1,2,3,4,5,9,10,11}","{1,2,3,4,5,9,10,11}",{2},"{1,3,4,5,9,10,11}"
ddgp-last-seed-0010,ddgp,last-seed,2,11,1-11,256,32,16,16,0.5,7,128,0.25,0.125,2,2,1,1,0.5,1,3,4,0,4,1,0,1,{1},"{2,3,11}","{1,2,3,11}",{},"{1,2,3,11}"
ddgp-last-seed-0011,ddgp,last-seed,2,11,1-11,256,4,2,2,0.5,1,2,2.0,1.0,128,2,1,1,0.5,1,10,10,1,9,7,0,7,{1},"{1,2,3,4,5,6,7,8,9,11}","{1,2,3,4,5,6,7,8,9,11}",{1},"{2,3,4,5,6,7,8,9,11}"
ddgp-last-seed-0012,ddgp,last-seed,2,11,1-11,256,64,16,48,0.25,5,32,2.0,0.5,8,8,2,6,0.25,1,5,5,1,4,3,0,3,{1},"{1,2,6,7,11}","{1,2,6,7,11}",{1},"{2,6,7,11}"
