id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,base_generator_count,base_generator_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,labelled_violation_count,labelled_violation_rank,combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,rank_identity_holds,base_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-nonlast-nonseed-0035,ddgp,2,11,1,7-9,"{1,2,3,5,7,9}","{5,7,9}",3,4,2,4,0,0,1,2,2,2,0,1,True,"{9}@{1,2}:base-clique;{9}@{1,2}:cone;{7}@{1,5}:base-clique;{7}@{1,5}:cone",,4,1,2,0,True,True,True
ddgp-nonlast-nonseed-0036,ddgp,2,11,1,5-10,"{1,2,3,4,5,10}","{4,5,10}",3,2,1,2,0,0,1,1,1,1,0,1,True,"{5}@{2,4}:base-clique;{5}@{2,4}:cone",,2,1,1,0,True,True,True
ddgp-nonlast-nonseed-0037,ddgp,2,11,1,6-8,"{2,3,4,5,6,8}","{4,5,6,8}",4,6,3,8,2,1,2,2,2,3,1,2,True,"{8}@{3,5}:base-clique;{8}@{3,5}:cone;{6}@{4,5}:base-clique;{6}@{4,5}:cone;{4,5,6,8}@{2,3}:base-clique;{4,5,6,8}@{2,3}:cone","{4,5,6,8}@{2,3}:base-clique;{4,5,6,8}@{2,3}:cone",8,2,3,1,True,True,True
ddgp-nonlast-nonseed-0038,ddgp,2,11,1,4-5,"{1,2,4,5}","{4,5}",2,3,2,4,1,1,2,1,1,2,1,2,True,"{5}@{1,2}:cone;{4}@{1,2}:cone;{4,5}@{1,2}:base-clique","{4,5}@{1,2}:base-clique",4,2,2,1,True,True,True
ddgp-nonlast-nonseed-0039,ddgp,2,11,1,9-10,"{2,3,4,5,7,9,10}","{4,5,7,9,10}",5,6,3,8,2,1,2,2,2,3,1,2,True,"{10}@{3,5}:base-clique;{10}@{3,5}:cone;{9}@{2,7}:base-clique;{9}@{2,7}:cone;{4,5,7,9,10}@{2,3}:base-clique;{4,5,7,9,10}@{2,3}:cone","{4,5,7,9,10}@{2,3}:base-clique;{4,5,7,9,10}@{2,3}:cone",8,2,3,1,True,True,True
ddgp-nonlast-nonseed-0040,ddgp,2,11,1,8-10,"{1,2,3,4,5,8,10}","{4,5,8,10}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{4,5}:base-clique;{10}@{4,5}:cone",,2,1,1,0,True,True,True
ddgp-nonlast-nonseed-0041,ddgp,2,11,1,3-8,"{1,2,3,4,6,7,8}","{4,6,7,8}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{8}@{4,7}:base-clique;{8}@{4,7}:cone",,2,1,1,0,True,True,True
ddgp-nonlast-nonseed-0042,ddgp,2,11,1,4-6,"{1,2,3,4,6}","{4,6}",2,4,2,4,0,0,1,2,2,2,0,1,True,"{6}@{2,3}:base-clique;{6}@{2,3}:cone;{4}@{1,2}:base-clique;{4}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-nonlast-nonseed-0043,ddgp,2,11,1,3-8,"{1,2,3,4,5,7,8}","{4,5,7,8}",4,2,1,2,0,0,1,1,1,1,0,1,True,"{8}@{5,7}:base-clique;{8}@{5,7}:cone",,2,1,1,0,True,True,True
ddgp-nonlast-nonseed-0044,ddgp,2,11,1,9-10,"{1,2,7,8,9,10}","{7,8,9,10}",4,8,4,16,2,1,2,3,3,4,1,2,True,"{10}@{1,7}:base-clique;{10}@{1,7}:cone;{9}@{2,8}:base-clique;{9}@{2,8}:cone;{8,9}@{2,7}:base-clique;{8,9}@{2,7}:cone;{7,8,9,10}@{1,2}:base-clique;{7,8,9,10}@{1,2}:cone","{7,8,9,10}@{1,2}:base-clique;{7,8,9,10}@{1,2}:cone",16,2,4,1,True,True,True
ddgp-nonlast-nonseed-0045,ddgp,2,11,1,9-10,"{1,2,3,4,5,7,8,9,10}","{4,5,7,8,9,10}",6,4,2,4,0,0,1,2,2,2,0,1,True,"{10}@{4,7}:base-clique;{10}@{4,7}:cone;{9}@{5,8}:base-clique;{9}@{5,8}:cone",,4,1,2,0,True,True,True
ddgp-nonlast-nonseed-0046,ddgp,2,11,1,3-5,"{1,3,4,5}","{4,5}",2,4,2,4,2,1,2,1,1,2,1,2,True,"{5}@{1,4}:base-clique;{5}@{1,4}:cone;{4,5}@{1,3}:base-clique;{4,5}@{1,3}:cone","{4,5}@{1,3}:base-clique;{4,5}@{1,3}:cone",4,2,2,1,True,True,True
ddgp-nonlast-nonseed-0047,ddgp,2,11,1,5-8,"{1,2,3,4,5,6,8}","{4,5,6,8}",4,4,2,4,0,0,1,2,2,2,0,1,True,"{8}@{4,6}:base-clique;{8}@{4,6}:cone;{5}@{3,4}:base-clique;{5}@{3,4}:cone",,4,1,2,0,True,True,True
ddgp-nonlast-nonseed-0048,ddgp,2,11,1,5-9,"{1,2,4,5,6,9}","{4,5,6,9}",4,6,3,8,2,1,2,2,2,3,1,2,True,"{9}@{1,6}:base-clique;{9}@{1,6}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone;{4,5,6,9}@{1,2}:base-clique;{4,5,6,9}@{1,2}:cone","{4,5,6,9}@{1,2}:base-clique;{4,5,6,9}@{1,2}:cone",8,2,3,1,True,True,True
ddgp-nonlast-nonseed-0049,ddgp,2,11,1,6-10,"{1,2,3,4,5,6,8,10}","{4,5,6,8,10}",5,2,1,2,0,0,1,1,1,1,0,1,True,"{10}@{1,8}:base-clique;{10}@{1,8}:cone",,2,1,1,0,True,True,True
ddgp-nonlast-nonseed-0050,ddgp,2,11,1,6-10,"{1,2,3,4,5,6,10}","{4,5,6,10}",4,4,2,4,0,0,1,2,2,2,0,1,True,"{10}@{1,5}:base-clique;{10}@{1,5}:cone;{6}@{4,5}:base-clique;{6}@{4,5}:cone",,4,1,2,0,True,True,True
