id,mode,pruning_kind,k,n,pruning_edge,raw_count,base_count,valid_count,removed_by_pruning,valid_fraction_of_base,outside_choices,outside_factor,normalized_base_count,normalized_valid_count,local_raw_count,local_base_count,local_valid_count,local_removed_by_pruning,local_valid_fraction_of_base,fix_u_size,fix_v_size,fix_union_size,fix_intersection_size,fix_symdiff_size,union_choices,intersection_choices,symdiff_choices,fix_u,fix_v,fix_union,fix_intersection,fix_symdiff
ddgp-last-seed-0001,ddgp,last-seed,3,9,4-9,32,8,2,6,0.25,2,4,2.0,0.5,8,8,2,6,0.25,1,6,6,1,5,3,0,3,{4},"{1,3,4,5,6,9}","{1,3,4,5,6,9}",{4},"{1,3,5,6,9}"
ddgp-last-seed-0002,ddgp,last-seed,3,9,2-9,32,16,8,8,0.5,2,4,4.0,2.0,8,4,2,2,0.5,1,7,7,1,6,3,0,3,{2},"{1,2,3,4,5,6,9}","{1,2,3,4,5,6,9}",{2},"{1,3,4,5,6,9}"
ddgp-last-seed-0003,ddgp,last-seed,3,9,4-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{4},"{1,2,3,4,5,6,8,9}","{1,2,3,4,5,6,8,9}",{4},"{1,2,3,5,6,8,9}"
ddgp-last-seed-0004,ddgp,last-seed,3,9,3-9,32,4,2,2,0.5,4,16,0.25,0.125,2,2,1,1,0.5,1,4,5,0,5,1,0,1,{3},"{1,2,4,9}","{1,2,3,4,9}",{},"{1,2,3,4,9}"
ddgp-last-seed-0005,ddgp,last-seed,3,9,1-9,32,8,4,4,0.5,2,4,2.0,1.0,8,8,4,4,0.5,1,6,6,1,5,3,0,3,{1},"{1,3,4,5,6,9}","{1,3,4,5,6,9}",{1},"{3,4,5,6,9}"
ddgp-last-seed-0006,ddgp,last-seed,3,9,1-9,32,4,2,2,0.5,2,4,1.0,0.5,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{1},"{1,2,3,4,5,7,9}","{1,2,3,4,5,7,9}",{1},"{2,3,4,5,7,9}"
ddgp-last-seed-0007,ddgp,last-seed,3,9,4-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{4},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{4},"{1,2,3,5,6,7,9}"
ddgp-last-seed-0008,ddgp,last-seed,3,9,3-9,32,16,8,8,0.5,3,8,2.0,1.0,4,2,1,1,0.5,1,6,6,1,5,2,0,2,{3},"{1,2,3,4,5,9}","{1,2,3,4,5,9}",{3},"{1,2,4,5,9}"
ddgp-last-seed-0009,ddgp,last-seed,3,9,3-9,32,8,4,4,0.5,2,4,2.0,1.0,8,4,2,2,0.5,1,6,6,1,5,3,0,3,{3},"{1,3,4,5,6,9}","{1,3,4,5,6,9}",{3},"{1,4,5,6,9}"
ddgp-last-seed-0010,ddgp,last-seed,3,9,2-9,32,4,2,2,0.5,2,4,1.0,0.5,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{2},"{1,2,3,4,5,8,9}","{1,2,3,4,5,8,9}",{2},"{1,3,4,5,8,9}"
ddgp-last-seed-0011,ddgp,last-seed,3,9,2-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{2},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{2},"{1,3,4,5,6,7,9}"
ddgp-last-seed-0012,ddgp,last-seed,3,9,3-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{3},"{1,2,3,4,5,7,8,9}","{1,2,3,4,5,7,8,9}",{3},"{1,2,4,5,7,8,9}"
ddgp-last-seed-0013,ddgp,last-seed,3,9,3-9,32,2,1,1,0.5,0,1,2.0,1.0,32,2,1,1,0.5,1,9,9,1,8,5,0,5,{3},"{1,2,3,4,5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}",{3},"{1,2,4,5,6,7,8,9}"
ddgp-last-seed-0014,ddgp,last-seed,3,9,4-9,32,8,4,4,0.5,3,8,1.0,0.5,4,4,2,2,0.5,1,5,5,1,4,2,0,2,{4},"{1,2,4,5,9}","{1,2,4,5,9}",{4},"{1,2,5,9}"
ddgp-last-seed-0015,ddgp,last-seed,3,9,3-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{3},"{1,2,3,4,5,7,8,9}","{1,2,3,4,5,7,8,9}",{3},"{1,2,4,5,7,8,9}"
ddgp-last-seed-0016,ddgp,last-seed,3,9,2-9,32,8,4,4,0.5,2,4,2.0,1.0,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{2},"{1,2,3,4,6,7,9}","{1,2,3,4,6,7,9}",{2},"{1,3,4,6,7,9}"
ddgp-last-seed-0017,ddgp,last-seed,3,9,3-9,32,2,1,1,0.5,0,1,2.0,1.0,32,2,1,1,0.5,1,9,9,1,8,5,0,5,{3},"{1,2,3,4,5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}",{3},"{1,2,4,5,6,7,8,9}"
ddgp-last-seed-0018,ddgp,last-seed,3,9,2-9,32,8,4,4,0.5,3,8,1.0,0.5,4,4,2,2,0.5,1,5,5,1,4,2,0,2,{2},"{1,2,3,6,9}","{1,2,3,6,9}",{2},"{1,3,6,9}"
ddgp-last-seed-0019,ddgp,last-seed,3,9,4-9,32,8,4,4,0.5,2,4,2.0,1.0,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{4},"{1,2,3,4,5,7,9}","{1,2,3,4,5,7,9}",{4},"{1,2,3,5,7,9}"
ddgp-last-seed-0020,ddgp,last-seed,3,9,4-9,32,2,1,1,0.5,0,1,2.0,1.0,32,2,1,1,0.5,1,9,9,1,8,5,0,5,{4},"{1,2,3,4,5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}",{4},"{1,2,3,5,6,7,8,9}"
ddgp-last-seed-0021,ddgp,last-seed,3,9,2-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{2},"{1,2,3,4,5,6,8,9}","{1,2,3,4,5,6,8,9}",{2},"{1,3,4,5,6,8,9}"
ddgp-last-seed-0022,ddgp,last-seed,3,9,2-9,32,32,16,16,0.5,3,8,4.0,2.0,4,4,2,2,0.5,1,5,5,1,4,2,0,2,{2},"{1,2,4,6,9}","{1,2,4,6,9}",{2},"{1,4,6,9}"
ddgp-last-seed-0023,ddgp,last-seed,3,9,2-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{2},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{2},"{1,3,4,5,6,7,9}"
ddgp-last-seed-0024,ddgp,last-seed,3,9,2-9,32,2,1,1,0.5,0,1,2.0,1.0,32,2,1,1,0.5,1,9,9,1,8,5,0,5,{2},"{1,2,3,4,5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}",{2},"{1,3,4,5,6,7,8,9}"
ddgp-last-seed-0025,ddgp,last-seed,3,9,3-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{3},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{3},"{1,2,4,5,6,7,9}"
ddgp-last-seed-0026,ddgp,last-seed,3,9,2-9,32,8,2,6,0.25,1,2,4.0,1.0,16,4,1,3,0.25,1,8,8,1,7,4,0,4,{2},"{1,2,3,4,5,6,8,9}","{1,2,3,4,5,6,8,9}",{2},"{1,3,4,5,6,8,9}"
ddgp-last-seed-0027,ddgp,last-seed,3,9,1-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{1},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{1},"{2,3,4,5,6,7,9}"
ddgp-last-seed-0028,ddgp,last-seed,3,9,3-9,32,8,2,6,0.25,1,2,4.0,1.0,16,4,1,3,0.25,1,8,8,1,7,4,0,4,{3},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{3},"{1,2,4,5,6,7,9}"
ddgp-last-seed-0029,ddgp,last-seed,3,9,4-9,32,4,2,2,0.5,1,2,2.0,1.0,16,2,1,1,0.5,1,8,8,1,7,4,0,4,{4},"{1,2,3,4,5,6,7,9}","{1,2,3,4,5,6,7,9}",{4},"{1,2,3,5,6,7,9}"
ddgp-last-seed-0030,ddgp,last-seed,3,9,1-9,32,4,2,2,0.5,2,4,1.0,0.5,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{1},"{1,2,3,4,6,8,9}","{1,2,3,4,6,8,9}",{1},"{2,3,4,6,8,9}"
ddgp-last-seed-0031,ddgp,last-seed,3,9,2-9,32,4,2,2,0.5,0,1,4.0,2.0,32,4,2,2,0.5,1,8,8,1,7,5,0,5,{2},"{1,2,4,5,6,7,8,9}","{1,2,4,5,6,7,8,9}",{2},"{1,4,5,6,7,8,9}"
ddgp-last-seed-0032,ddgp,last-seed,3,9,2-9,32,8,4,4,0.5,2,4,2.0,1.0,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{2},"{1,2,3,4,5,6,9}","{1,2,3,4,5,6,9}",{2},"{1,3,4,5,6,9}"
ddgp-last-seed-0033,ddgp,last-seed,3,9,2-9,32,4,2,2,0.5,2,4,1.0,0.5,8,2,1,1,0.5,1,7,7,1,6,3,0,3,{2},"{1,2,3,4,5,6,9}","{1,2,3,4,5,6,9}",{2},"{1,3,4,5,6,9}"
