id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-last-nonseed-0022,ddgp,2,10,1,8-10,"{1,2,3,4,5,6,8,9,10}","{4,5,6,8,9,10}",6,10,6,8,4,7,3,8,0,0,1,12,7,7,0,1,True,True,"{10}@{5,9}:base-clique;{10}@{5,9}:cone;{9,10}@{2,4}:cone;{8}@{2,6}:base-clique;{8}@{2,6}:cone;{6,8}@{1,3}:cone;{5,10}@{2,4}:cone;{5,9,10}@{2,4}:base-clique;{4,5,9,10}@{1,3}:cone;{4,5,6,8,9,10}@{1,3}:base-clique",,8,1,3,0,True,True,True
ddgp-last-nonseed-0023,ddgp,2,10,1,3-10,"{1,2,3,4,9,10}","{4,9,10}",3,6,3,4,2,3,1,2,0,0,1,6,3,3,0,1,True,True,"{10}@{2,9}:base-clique;{10}@{2,9}:cone;{9,10}@{1,4}:base-clique;{9,10}@{1,4}:cone;{4,9,10}@{2,3}:base-clique;{4,9,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-nonseed-0024,ddgp,2,10,1,8-10,"{1,2,3,5,6,8,10}","{5,6,8,10}",4,7,4,2,1,4,3,8,0,0,1,5,4,4,0,1,True,True,"{10}@{3,5}:base-clique;{10}@{3,5}:cone;{8}@{2,6}:base-clique;{8}@{2,6}:cone;{6,8}@{1,2}:cone;{5,10}@{1,2}:cone;{5,6,8,10}@{1,2}:base-clique",,8,1,3,0,True,True,True
ddgp-last-nonseed-0025,ddgp,2,10,1,8-10,"{1,2,3,4,8,9,10}","{4,8,9,10}",4,8,4,4,2,4,2,4,0,0,1,7,4,4,0,1,True,True,"{10}@{2,9}:base-clique;{10}@{2,9}:cone;{9,10}@{3,4}:base-clique;{9,10}@{3,4}:cone;{8}@{1,4}:base-clique;{8}@{1,4}:cone;{4,8,9,10}@{2,3}:base-clique;{4,8,9,10}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-last-nonseed-0026,ddgp,2,10,1,3-10,"{1,2,3,4,10}","{4,10}",2,4,2,2,1,2,1,2,0,0,1,3,2,2,0,1,True,True,"{10}@{1,4}:base-clique;{10}@{1,4}:cone;{4,10}@{2,3}:base-clique;{4,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-nonseed-0027,ddgp,2,10,1,4-10,"{2,3,4,7,8,10}","{4,7,8,10}",4,7,4,5,3,5,2,4,1,1,2,7,4,5,1,2,True,True,"{10}@{7,8}:base-clique;{10}@{7,8}:cone;{8,10}@{3,4}:base-clique;{8,10}@{3,4}:cone;{7,10}@{2,3}:cone;{4,8,10}@{2,3}:cone;{4,7,8,10}@{2,3}:base-clique","{4,7,8,10}@{2,3}:base-clique",4,2,2,1,True,True,True
ddgp-last-nonseed-0028,ddgp,2,10,1,9-10,"{1,3,4,5,6,9,10}","{4,5,6,9,10}",5,10,5,1,1,5,4,16,4,2,4,4,3,5,2,4,True,True,"{10}@{4,6}:base-clique;{10}@{4,6}:cone;{9}@{3,5}:base-clique;{9}@{3,5}:cone;{6,10}@{4,5}:base-clique;{6,10}@{4,5}:cone;{5,6,9,10}@{3,4}:base-clique;{5,6,9,10}@{3,4}:cone;{4,5,6,9,10}@{1,3}:base-clique;{4,5,6,9,10}@{1,3}:cone","{5,6,9,10}@{3,4}:base-clique;{5,6,9,10}@{3,4}:cone;{4,5,6,9,10}@{1,3}:base-clique;{4,5,6,9,10}@{1,3}:cone",16,4,4,2,True,True,True
ddgp-last-nonseed-0029,ddgp,2,10,1,4-10,"{1,2,3,4,5,10}","{4,5,10}",3,6,3,5,2,3,1,2,0,0,1,6,3,3,0,1,True,True,"{10}@{1,5}:base-clique;{10}@{1,5}:cone;{5,10}@{3,4}:base-clique;{5,10}@{3,4}:cone;{4,5,10}@{2,3}:base-clique;{4,5,10}@{2,3}:cone",,2,1,1,0,True,True,True
ddgp-last-nonseed-0030,ddgp,2,10,1,8-10,"{1,2,3,5,7,8,10}","{5,7,8,10}",4,8,4,0,0,4,4,16,0,0,1,4,4,4,0,1,True,True,"{10}@{1,3}:base-clique;{10}@{1,3}:cone;{8}@{5,7}:base-clique;{8}@{5,7}:cone;{7,8}@{2,5}:base-clique;{7,8}@{2,5}:cone;{5,7,8}@{1,2}:base-clique;{5,7,8}@{1,2}:cone",,16,1,4,0,True,True,True
ddgp-last-nonseed-0031,ddgp,2,10,1,5-10,"{1,2,3,5,7,10}","{5,7,10}",3,6,3,4,2,3,1,2,0,0,1,5,3,3,0,1,True,True,"{10}@{3,7}:base-clique;{10}@{3,7}:cone;{7,10}@{1,5}:base-clique;{7,10}@{1,5}:cone;{5,7,10}@{1,2}:base-clique;{5,7,10}@{1,2}:cone",,2,1,1,0,True,True,True
ddgp-last-nonseed-0032,ddgp,2,10,1,4-10,"{1,2,3,4,10}","{4,10}",2,4,2,1,1,2,1,2,0,0,1,3,2,2,0,1,True,True,"{10}@{2,3}:base-clique;{10}@{2,3}:cone;{4}@{1,3}:base-clique;{4}@{1,3}:cone",,2,1,1,0,True,True,True
ddgp-last-nonseed-0033,ddgp,2,10,1,4-10,"{1,2,3,4,5,9,10}","{4,5,9,10}",4,7,4,4,2,4,2,4,0,0,1,7,4,4,0,1,True,True,"{10}@{3,9}:base-clique;{10}@{3,9}:cone;{9,10}@{2,5}:base-clique;{9,10}@{2,5}:cone;{5,9,10}@{1,2}:cone;{4}@{1,2}:cone;{4,5,9,10}@{1,2}:base-clique",,4,1,2,0,True,True,True
ddgp-last-nonseed-0034,ddgp,2,10,1,5-10,"{1,2,3,4,5,9,10}","{4,5,9,10}",4,8,4,3,1,4,3,8,0,0,1,6,4,4,0,1,True,True,"{10}@{1,9}:base-clique;{10}@{1,9}:cone;{9,10}@{1,4}:base-clique;{9,10}@{1,4}:cone;{5}@{3,4}:base-clique;{5}@{3,4}:cone;{4,5,9,10}@{2,3}:base-clique;{4,5,9,10}@{2,3}:cone",,8,1,3,0,True,True,True
