id,mode,k,n,pruning_count,pruning_edges,local_decisions,local_base_count,local_valid_count,local_base_dim,local_valid_dim,base_is_affine_subspace,valid_is_affine_subspace,base_affine_hull_rank,valid_affine_hull_rank,full_base_stabilizer_rank,full_valid_stabilizer_rank,full_valid_rank_matches,edge_rule_base_generator_rank,edge_rule_valid_generator_rank,predicted_valid_by_edge_rule,edge_rule_rank_matches,edge_rule_rank_matches_full_valid,full_valid_stabilizer_in_edge_rule_span,violation_kernel_valid_rank,violation_kernel_valid_formula_rank,violation_kernel_formula_rank_matches_masks,predicted_valid_by_violation_kernel,violation_kernel_rank_matches,violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_violation_kernel_span,labelled_violation_kernel_valid_rank,labelled_violation_kernel_valid_formula_rank,labelled_violation_kernel_formula_rank_matches_masks,predicted_valid_by_labelled_violation_kernel,labelled_violation_kernel_rank_matches,labelled_violation_kernel_rank_matches_full_valid,full_valid_stabilizer_in_labelled_violation_kernel_span,graph_valid_span_rank,graph_valid_span_rank_matches,graph_valid_rank_matches_full_valid,decisions,fix_union,edge_rule_base_generators,edge_rule_valid_generators,edge_rule_valid_span_masks,violation_kernel_valid_masks,labelled_violation_kernel_valid_masks,full_valid_stabilizer_masks,base_cliques,base_clique_transitions,base_clique_overlaps,local_base_cliques,local_base_clique_transitions,local_base_clique_overlaps,local_base_clique_paths,local_base_clique_max_path
ddgp-p2-n10-0021,ddgp,2,10,2,5-9;5-10,6,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,8,9,10}","{1,2,3,4,5,6,8,9,10}","{10}@{6,8}:base-clique;{10}@{6,8}:cone;{9}@{1,8}:base-clique;{9}@{1,8}:cone",,{},{},{},{},7,6,10,7,6,10,11,3
ddgp-p2-n10-0022,ddgp,2,10,2,3-10;6-8,5,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,8,10}","{1,2,3,4,5,6,8,10}","{10}@{1,5}:base-clique;{10}@{1,5}:cone;{8}@{2,5}:base-clique;{8}@{2,5}:cone",,{},{},{},{},7,7,12,7,7,12,15,3
ddgp-p2-n10-0023,ddgp,2,10,2,2-4;7-9,3,8,1,3,0,True,True,3,0,3,0,True,3,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{4,7,9}","{1,2,3,4,7,9}","{9}@{1,3}:cone;{7}@{1,4}:base-clique;{7}@{1,4}:cone;{4,7}@{1,3}:cone;{4,7,9}@{1,3}:base-clique",,{},"{};{7,9}",{},{},4,2,2,3,1,2,1,1
ddgp-p2-n10-0024,ddgp,2,10,2,4-8;7-9,6,8,1,3,0,True,True,3,0,3,0,True,3,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,7,8,9}","{1,2,3,4,5,6,7,8,9}","{9}@{5,8}:base-clique;{9}@{5,8}:cone;{8,9}@{5,6}:base-clique;{8,9}@{5,6}:cone;{7}@{3,6}:base-clique;{7}@{3,6}:cone",,{},"{};{7,9}",{},{},7,7,10,7,7,10,13,3
ddgp-p2-n10-0025,ddgp,2,10,2,2-9;4-5,3,8,1,3,0,True,True,3,0,3,0,True,3,0,1,True,True,True,1,1,True,2,False,False,True,0,0,True,1,True,True,True,0,True,True,"{4,5,9}","{1,2,3,4,5,9}","{9}@{1,4}:base-clique;{9}@{1,4}:cone;{5}@{1,2}:base-clique;{5}@{1,2}:cone;{4,9}@{1,3}:base-clique;{4,9}@{1,3}:cone",,{},"{};{4,5}",{},{},7,5,12,6,3,10,3,1
ddgp-p2-n10-0026,ddgp,2,10,2,1-4;5-9,5,2,1,1,0,True,True,1,0,1,0,True,1,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,7,9}","{1,2,3,4,5,6,7,9}","{4}@{2,3}:cone",,{},{},{},{},5,4,3,5,4,3,8,3
ddgp-p2-n10-0027,ddgp,2,10,2,6-10;7-9,6,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{4,6,7,8,9,10}","{1,2,3,4,6,7,8,9,10}","{10}@{2,4}:cone;{9}@{4,8}:base-clique;{9}@{4,8}:cone",,{},{},{},{},6,6,7,6,6,7,12,3
ddgp-p2-n10-0028,ddgp,2,10,2,6-10;7-8,6,16,1,4,0,True,True,4,0,4,0,True,4,0,1,True,True,True,2,2,True,4,False,False,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,7,8,10}","{1,2,3,4,5,6,7,8,10}","{10}@{3,5}:base-clique;{10}@{3,5}:cone;{8}@{4,6}:base-clique;{8}@{4,6}:cone;{7}@{2,4}:cone;{6,8}@{1,4}:base-clique;{6,8}@{1,4}:cone",,{},"{};{7,8};{6,10};{6,7,8,10}",{},{},6,6,7,6,6,7,9,2
ddgp-p2-n10-0029,ddgp,2,10,2,2-9;4-6,4,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,9}","{1,2,3,4,5,6,9}","{9}@{1,5}:base-clique;{9}@{1,5}:cone;{6}@{1,3}:base-clique;{6}@{1,3}:cone",,{},{},{},{},6,4,12,6,4,12,6,2
ddgp-p2-n10-0030,ddgp,2,10,2,4-7;5-7,4,4,1,2,0,True,True,2,0,2,0,True,2,0,1,True,True,True,0,0,True,1,True,True,True,0,0,True,1,True,True,True,0,True,True,"{4,5,6,7}","{1,2,3,4,5,6,7}","{7}@{2,6}:base-clique;{7}@{2,6}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone",,{},{},{},{},6,5,6,5,3,6,3,1
