id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n12-0001,ddgp,3,12,2,2-7;5-7,"{1,2,3,4,5,6,7}","{5,6,7}",3,6,3,5,2,3,1,2,0,0,1,8,3,3,0,1,True,True,"{7}@{1,3,6}:base-clique;{7}@{1,3,6}:cone;{6,7}@{3,4,5}:base-clique;{6,7}@{3,4,5}:cone;{5,6,7}@{2,3,4}:base-clique;{5,6,7}@{2,3,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0002,ddgp,3,12,2,2-8;5-11,"{1,2,3,4,5,8,9,11}","{5,8,9,11}",4,8,4,11,3,4,1,2,0,0,1,14,4,4,0,1,True,True,"{11}@{4,8,9}:base-clique;{11}@{4,8,9}:cone;{9,11}@{1,2,4}:base-clique;{9,11}@{1,2,4}:cone;{8,11}@{3,4,5}:base-clique;{8,11}@{3,4,5}:cone;{5,8,11}@{1,2,3}:base-clique;{5,8,11}@{1,2,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0003,ddgp,3,12,2,3-7;7-9,"{1,2,3,4,5,6,7,9}","{5,6,7,9}",4,8,4,13,4,4,0,1,0,0,1,16,4,4,0,1,True,True,"{9}@{2,4,6}:base-clique;{9}@{2,4,6}:cone;{7}@{1,4,6}:base-clique;{7}@{1,4,6}:cone;{6,7,9}@{3,4,5}:base-clique;{6,7,9}@{3,4,5}:cone;{5,6,7,9}@{1,3,4}:base-clique;{5,6,7,9}@{1,3,4}:cone",,1,1,0,0,True,True,True
ddgp-p2-n12-0004,ddgp,3,12,2,2-9;3-7,"{1,2,3,4,5,6,7,8,9}","{5,6,7,8,9}",5,9,5,6,2,5,3,8,1,1,2,9,4,5,1,2,True,True,"{9}@{3,4,8}:base-clique;{9}@{3,4,8}:cone;{8,9}@{2,3,4}:cone;{7}@{1,5,6}:base-clique;{7}@{1,5,6}:cone;{6,7}@{1,2,4}:base-clique;{6,7}@{1,2,4}:cone;{5,7}@{2,3,4}:cone;{5,7,8,9}@{2,3,4}:base-clique","{8,9}@{2,3,4}:cone",8,2,3,1,True,True,True
ddgp-p2-n12-0005,ddgp,3,12,2,2-12;4-11,"{1,2,3,4,5,7,8,11,12}","{5,7,8,11,12}",5,10,5,16,4,5,1,2,0,0,1,20,5,5,0,1,True,True,"{12}@{1,3,11}:base-clique;{12}@{1,3,11}:cone;{11,12}@{2,5,8}:base-clique;{11,12}@{2,5,8}:cone;{8,11,12}@{3,4,7}:base-clique;{8,11,12}@{3,4,7}:cone;{7,8,11,12}@{2,3,4}:base-clique;{7,8,11,12}@{2,3,4}:cone;{5,11,12}@{1,2,3}:base-clique;{5,11,12}@{1,2,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0006,ddgp,3,12,2,1-7;1-12,"{1,2,3,4,5,6,7,8,10,11,12}","{5,6,7,8,10,11,12}",7,13,7,32,7,8,1,2,0,0,1,38,8,8,0,1,True,True,"{12}@{3,8,11}:base-clique;{12}@{3,8,11}:cone;{11,12}@{5,6,10}:base-clique;{11,12}@{5,6,10}:cone;{10,11,12}@{3,4,7}:base-clique;{10,11,12}@{3,4,7}:cone;{8,12}@{4,6,7}:base-clique;{8,12}@{4,6,7}:cone;{7,8,10,11,12}@{3,5,6}:base-clique;{7,8,10,11,12}@{3,5,6}:cone;{6,7,8,10,11,12}@{1,2,4}:cone;{5,7,8,10,11,12}@{1,2,4}:cone;{5,6,7,8,10,11,12}@{1,2,4}:base-clique",,2,1,1,0,True,True,True
ddgp-p2-n12-0007,ddgp,3,12,2,6-8;9-12,"{1,2,3,4,5,6,7,8,9,11,12}","{5,6,7,8,9,11,12}",7,14,7,27,5,7,2,4,0,0,1,33,7,7,0,1,True,True,"{12}@{3,8,11}:base-clique;{12}@{3,8,11}:cone;{11,12}@{1,7,8}:base-clique;{11,12}@{1,7,8}:cone;{9}@{2,3,6}:base-clique;{9}@{2,3,6}:cone;{8,11,12}@{2,4,7}:base-clique;{8,11,12}@{2,4,7}:cone;{7,8,11,12}@{2,5,6}:base-clique;{7,8,11,12}@{2,5,6}:cone;{6,7,8,9,11,12}@{2,4,5}:base-clique;{6,7,8,9,11,12}@{2,4,5}:cone;{5,6,7,8,9,11,12}@{1,2,3}:base-clique;{5,6,7,8,9,11,12}@{1,2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n12-0008,ddgp,3,12,2,1-10;2-12,"{1,2,3,4,5,6,7,8,9,10,12}","{5,6,7,8,9,10,12}",7,14,7,31,5,7,2,4,0,0,1,38,7,7,0,1,True,True,"{12}@{3,4,9}:base-clique;{12}@{3,4,9}:cone;{10}@{2,6,9}:base-clique;{10}@{2,6,9}:cone;{9,10,12}@{2,5,8}:base-clique;{9,10,12}@{2,5,8}:cone;{8,9,10,12}@{3,4,7}:base-clique;{8,9,10,12}@{3,4,7}:cone;{7,8,9,10,12}@{1,2,6}:base-clique;{7,8,9,10,12}@{1,2,6}:cone;{6,7,8,9,10,12}@{2,3,5}:base-clique;{6,7,8,9,10,12}@{2,3,5}:cone;{5,6,7,8,9,10,12}@{2,3,4}:base-clique;{5,6,7,8,9,10,12}@{2,3,4}:cone",,4,1,2,0,True,True,True
ddgp-p2-n12-0009,ddgp,3,12,2,5-10;7-8,"{1,2,3,4,5,6,7,8,9,10}","{5,6,7,8,9,10}",6,11,6,8,3,6,3,8,0,0,1,13,6,6,0,1,True,True,"{10}@{1,3,9}:base-clique;{10}@{1,3,9}:cone;{9,10}@{2,4,6}:base-clique;{9,10}@{2,4,6}:cone;{8}@{1,4,5}:base-clique;{8}@{1,4,5}:cone;{7}@{2,4,5}:base-clique;{7}@{2,4,5}:cone;{6,9,10}@{2,3,4}:cone;{5,7,8}@{2,3,4}:cone;{5,6,7,8,9,10}@{2,3,4}:base-clique",,8,1,3,0,True,True,True
ddgp-p2-n12-0010,ddgp,3,12,2,3-12;9-12,"{1,2,3,4,5,6,7,8,9,10,12}","{5,6,7,8,9,10,12}",7,14,7,31,6,7,1,2,0,0,1,39,7,7,0,1,True,True,"{12}@{2,6,10}:base-clique;{12}@{2,6,10}:cone;{10,12}@{2,8,9}:base-clique;{10,12}@{2,8,9}:cone;{9,10,12}@{3,4,7}:base-clique;{9,10,12}@{3,4,7}:cone;{8,10,12}@{1,2,5}:base-clique;{8,10,12}@{1,2,5}:cone;{7,9,10,12}@{2,3,5}:base-clique;{7,9,10,12}@{2,3,5}:cone;{6,12}@{1,4,5}:base-clique;{6,12}@{1,4,5}:cone;{5,6,7,8,9,10,12}@{1,2,4}:base-clique;{5,6,7,8,9,10,12}@{1,2,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0011,ddgp,3,12,2,3-7;6-8,"{2,3,4,5,6,7,8}","{5,6,7,8}",4,7,4,7,4,5,1,2,1,1,2,10,4,5,1,2,True,True,"{8}@{4,5,7}:base-clique;{8}@{4,5,7}:cone;{7,8}@{4,5,6}:base-clique;{7,8}@{4,5,6}:cone;{6,7,8}@{2,3,4}:cone;{5,7,8}@{2,3,4}:cone;{5,6,7,8}@{2,3,4}:base-clique","{5,6,7,8}@{2,3,4}:base-clique",2,2,1,1,True,True,True
ddgp-p2-n12-0012,ddgp,3,12,2,4-7;7-10,"{1,2,3,4,5,7,10}","{5,7,10}",3,6,3,4,2,3,1,2,0,0,1,8,3,3,0,1,True,True,"{10}@{1,2,5}:base-clique;{10}@{1,2,5}:cone;{7}@{1,2,3}:base-clique;{7}@{1,2,3}:cone;{5,10}@{1,3,4}:base-clique;{5,10}@{1,3,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0013,ddgp,3,12,2,3-12;6-9,"{1,3,4,5,6,7,8,9,11,12}","{5,6,7,8,9,11,12}",7,13,7,21,6,8,2,4,2,1,2,26,7,8,1,2,True,True,"{12}@{7,8,11}:base-clique;{12}@{7,8,11}:cone;{11,12}@{5,7,9}:base-clique;{11,12}@{5,7,9}:cone;{9,11,12}@{1,3,5}:cone;{8,12}@{1,3,5}:cone;{8,9,11,12}@{1,3,5}:base-clique;{7,11,12}@{3,5,6}:base-clique;{7,11,12}@{3,5,6}:cone;{6,7,11,12}@{1,4,5}:base-clique;{6,7,11,12}@{1,4,5}:cone;{5,6,7,8,9,11,12}@{1,3,4}:base-clique;{5,6,7,8,9,11,12}@{1,3,4}:cone","{5,6,7,8,9,11,12}@{1,3,4}:base-clique;{5,6,7,8,9,11,12}@{1,3,4}:cone",4,2,2,1,True,True,True
ddgp-p2-n12-0014,ddgp,3,12,2,5-12;10-11,"{1,2,3,4,5,6,7,8,9,10,11,12}","{5,6,7,8,9,10,11,12}",8,16,8,29,5,8,3,8,0,0,1,35,8,8,0,1,True,True,"{12}@{1,4,8}:base-clique;{12}@{1,4,8}:cone;{11}@{2,6,8}:base-clique;{11}@{2,6,8}:cone;{10}@{5,8,9}:base-clique;{10}@{5,8,9}:cone;{9,10}@{2,4,5}:base-clique;{9,10}@{2,4,5}:cone;{8,10,11,12}@{2,4,7}:base-clique;{8,10,11,12}@{2,4,7}:cone;{7,8,10,11,12}@{3,4,6}:base-clique;{7,8,10,11,12}@{3,4,6}:cone;{6,7,8,10,11,12}@{1,4,5}:base-clique;{6,7,8,10,11,12}@{1,4,5}:cone;{5,6,7,8,9,10,11,12}@{1,2,4}:base-clique;{5,6,7,8,9,10,11,12}@{1,2,4}:cone",,8,1,3,0,True,True,True
ddgp-p2-n12-0015,ddgp,3,12,2,2-11;6-8,"{1,2,3,4,6,7,8,9,11}","{6,7,8,9,11}",5,10,5,16,4,5,1,2,0,0,1,20,5,5,0,1,True,True,"{11}@{1,8,9}:base-clique;{11}@{1,8,9}:cone;{9,11}@{2,6,7}:base-clique;{9,11}@{2,6,7}:cone;{8,11}@{3,4,7}:base-clique;{8,11}@{3,4,7}:cone;{7,8,9,11}@{3,4,6}:base-clique;{7,8,9,11}@{3,4,6}:cone;{6,7,8,9,11}@{1,2,3}:base-clique;{6,7,8,9,11}@{1,2,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0016,ddgp,3,12,2,4-11;6-10,"{1,2,3,4,5,6,7,10,11}","{5,6,7,10,11}",5,9,5,9,6,6,0,1,0,0,1,13,6,6,0,1,True,True,"{11}@{5,6,7}:base-clique;{11}@{5,6,7}:cone;{10}@{1,2,5}:base-clique;{10}@{1,2,5}:cone;{7,11}@{3,4,5}:cone;{6,11}@{3,4,5}:cone;{6,7,11}@{3,4,5}:base-clique;{5,6,7,10,11}@{1,2,3}:base-clique;{5,6,7,10,11}@{1,2,3}:cone",,1,1,0,0,True,True,True
ddgp-p2-n12-0017,ddgp,3,12,2,2-11;4-10,"{1,2,3,4,5,6,7,8,10,11}","{5,6,7,8,10,11}",6,12,6,19,5,6,1,2,0,0,1,25,6,6,0,1,True,True,"{11}@{3,4,8}:base-clique;{11}@{3,4,8}:cone;{10}@{2,3,7}:base-clique;{10}@{2,3,7}:cone;{8,11}@{4,6,7}:base-clique;{8,11}@{4,6,7}:cone;{7,8,10,11}@{3,5,6}:base-clique;{7,8,10,11}@{3,5,6}:cone;{6,7,8,10,11}@{2,4,5}:base-clique;{6,7,8,10,11}@{2,4,5}:cone;{5,6,7,8,10,11}@{1,2,3}:base-clique;{5,6,7,8,10,11}@{1,2,3}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0018,ddgp,3,12,2,5-11;8-11,"{1,2,3,4,5,6,7,8,9,10,11}","{5,6,7,8,9,10,11}",7,14,7,38,6,7,1,2,0,0,1,46,7,7,0,1,True,True,"{11}@{2,6,10}:base-clique;{11}@{2,6,10}:cone;{10,11}@{3,4,9}:base-clique;{10,11}@{3,4,9}:cone;{9,10,11}@{4,6,8}:base-clique;{9,10,11}@{4,6,8}:cone;{8,9,10,11}@{3,4,7}:base-clique;{8,9,10,11}@{3,4,7}:cone;{7,8,9,10,11}@{1,4,5}:base-clique;{7,8,9,10,11}@{1,4,5}:cone;{6,9,10,11}@{1,2,3}:base-clique;{6,9,10,11}@{1,2,3}:cone;{5,7,8,9,10,11}@{2,3,4}:base-clique;{5,7,8,9,10,11}@{2,3,4}:cone",,2,1,1,0,True,True,True
ddgp-p2-n12-0019,ddgp,3,12,2,4-9;5-11,"{1,2,3,4,5,6,7,8,9,10,11}","{5,6,7,8,9,10,11}",7,14,7,39,6,7,1,2,0,0,1,46,7,7,0,1,True,True,"{11}@{6,9,10}:base-clique;{11}@{6,9,10}:cone;{10,11}@{3,7,9}:base-clique;{10,11}@{3,7,9}:cone;{9,10,11}@{1,2,8}:base-clique;{9,10,11}@{1,2,8}:cone;{8,9,10,11}@{2,5,7}:base-clique;{8,9,10,11}@{2,5,7}:cone;{7,8,9,10,11}@{3,5,6}:base-clique;{7,8,9,10,11}@{3,5,6}:cone;{6,7,8,9,10,11}@{1,2,4}:base-clique;{6,7,8,9,10,11}@{1,2,4}:cone;{5,7,8,9,10,11}@{2,3,4}:base-clique;{5,7,8,9,10,11}@{2,3,4}:cone",,2,1,1,0,True,True,True
