id,mode,k,n,pruning_count,pruning_edges,local_vertices,local_decisions,local_decision_count,graph_generator_count,graph_generator_rank,base_labelled_violation_count,base_labelled_violation_rank,base_combined_mask_violation_rank,base_kernel_rank,predicted_local_base_count,individually_valid_generator_count,individually_valid_generator_rank,predicted_by_individual_compatibility,valid_labelled_violation_count,valid_labelled_violation_rank,valid_combined_mask_violation_rank,labelled_kernel_rank,predicted_local_valid_count,base_rank_identity_holds,valid_rank_identity_holds,graph_generators,individually_valid_generators,exact_local_base_count,exact_local_valid_count,exact_local_base_dim,exact_local_valid_dim,base_prediction_matches,valid_prediction_matches,individual_prediction_matches
ddgp-p2-n10-0012,ddgp,2,10,2,3-9;4-9,"{1,2,3,4,6,7,8,9}","{4,6,7,8,9}",5,10,5,10,3,5,2,4,0,0,1,16,5,5,0,1,True,True,"{9}@{7,8}:base-clique;{9}@{7,8}:cone;{8,9}@{6,7}:base-clique;{8,9}@{6,7}:cone;{7,8,9}@{2,3}:base-clique;{7,8,9}@{2,3}:cone;{6,8,9}@{3,4}:base-clique;{6,8,9}@{3,4}:cone;{4,6,8,9}@{1,2}:base-clique;{4,6,8,9}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0013,ddgp,2,10,2,2-7;3-6,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,8,4,4,2,4,2,4,0,0,1,7,4,4,0,1,True,True,"{7}@{3,4}:base-clique;{7}@{3,4}:cone;{6}@{2,5}:base-clique;{6}@{2,5}:cone;{5,6}@{1,4}:base-clique;{5,6}@{1,4}:cone;{4,5,6,7}@{2,3}:base-clique;{4,5,6,7}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0014,ddgp,2,10,2,5-6;6-8,"{1,2,3,4,5,6,7,8}","{4,5,6,7,8}",5,9,5,9,4,5,1,2,0,0,1,15,5,5,0,1,True,True,"{8}@{1,7}:base-clique;{8}@{1,7}:cone;{7,8}@{3,5}:base-clique;{7,8}@{3,5}:cone;{6}@{2,3}:cone;{5,7,8}@{1,4}:base-clique;{5,7,8}@{1,4}:cone;{4,5,7,8}@{2,3}:cone;{4,5,6,7,8}@{2,3}:base-clique",,2,1,1,0,True,True,True
ddgp-p2-n10-0015,ddgp,2,10,2,2-8;2-9,"{1,2,3,4,6,8,9}","{4,6,8,9}",4,8,4,2,1,4,3,8,0,0,1,5,4,4,0,1,True,True,"{9}@{3,4}:base-clique;{9}@{3,4}:cone;{8}@{1,6}:base-clique;{8}@{1,6}:cone;{6,8}@{2,3}:base-clique;{6,8}@{2,3}:cone;{4,9}@{1,3}:base-clique;{4,9}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n10-0016,ddgp,2,10,2,5-8;6-9,"{1,2,3,4,5,6,7,8,9}","{4,5,6,7,8,9}",6,10,6,6,4,7,3,8,0,0,1,11,7,7,0,1,True,True,"{9}@{2,7}:base-clique;{9}@{2,7}:cone;{8}@{2,3}:cone;{7,9}@{1,3}:base-clique;{7,9}@{1,3}:cone;{6}@{4,5}:base-clique;{6}@{4,5}:cone;{5,6}@{2,3}:cone;{4,6}@{2,3}:cone;{4,5,6,8}@{2,3}:base-clique",,8,1,3,0,True,True,True
ddgp-p2-n10-0017,ddgp,2,10,2,4-9;6-7,"{1,2,3,4,5,6,7,9}","{4,5,6,7,9}",5,9,5,11,4,5,1,2,0,0,1,14,5,5,0,1,True,True,"{9}@{5,7}:base-clique;{9}@{5,7}:cone;{7,9}@{4,5}:cone;{6}@{4,5}:cone;{6,7,9}@{4,5}:base-clique;{5,6,7,9}@{1,3}:base-clique;{5,6,7,9}@{1,3}:cone;{4,6,7,9}@{1,2}:base-clique;{4,6,7,9}@{1,2}:cone",,2,1,1,0,True,True,True
ddgp-p2-n10-0018,ddgp,2,10,2,3-9;5-8,"{1,2,3,4,5,6,8,9}","{4,5,6,8,9}",5,10,5,4,3,5,2,4,0,0,1,9,5,5,0,1,True,True,"{9}@{5,6}:base-clique;{9}@{5,6}:cone;{8}@{3,4}:base-clique;{8}@{3,4}:cone;{6,9}@{3,5}:base-clique;{6,9}@{3,5}:cone;{5,6,9}@{1,2}:base-clique;{5,6,9}@{1,2}:cone;{4,8}@{2,3}:base-clique;{4,8}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0019,ddgp,2,10,2,3-8;5-10,"{1,3,4,5,6,8,10}","{4,5,6,8,10}",5,8,5,4,3,6,3,8,1,1,2,7,5,6,1,2,True,True,"{10}@{1,3}:cone;{8}@{4,6}:base-clique;{8}@{4,6}:cone;{6,8}@{1,3}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone;{4,5,8}@{1,3}:cone;{4,5,6,8,10}@{1,3}:base-clique","{4,5,6,8,10}@{1,3}:base-clique",8,2,3,1,True,True,True
ddgp-p2-n10-0020,ddgp,2,10,2,2-9;3-8,"{1,2,3,4,5,8,9}","{4,5,8,9}",4,8,4,6,2,4,2,4,0,0,1,9,4,4,0,1,True,True,"{9}@{4,5}:base-clique;{9}@{4,5}:cone;{8}@{2,4}:base-clique;{8}@{2,4}:cone;{5,9}@{1,2}:base-clique;{5,9}@{1,2}:cone;{4,8,9}@{1,3}:base-clique;{4,8,9}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0021,ddgp,2,10,2,5-9;5-10,"{1,2,3,4,5,6,8,9,10}","{4,5,6,8,9,10}",6,12,6,13,4,6,2,4,0,0,1,16,6,6,0,1,True,True,"{10}@{6,8}:base-clique;{10}@{6,8}:cone;{9}@{1,8}:base-clique;{9}@{1,8}:cone;{8,9,10}@{1,5}:base-clique;{8,9,10}@{1,5}:cone;{6,10}@{2,3}:base-clique;{6,10}@{2,3}:cone;{5,8,9,10}@{3,4}:base-clique;{5,8,9,10}@{3,4}:cone;{4,5,8,9,10}@{1,2}:base-clique;{4,5,8,9,10}@{1,2}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0022,ddgp,2,10,2,3-10;6-8,"{1,2,3,4,5,6,8,10}","{4,5,6,8,10}",5,10,5,9,3,5,2,4,0,0,1,13,5,5,0,1,True,True,"{10}@{1,5}:base-clique;{10}@{1,5}:cone;{8}@{2,5}:base-clique;{8}@{2,5}:cone;{6}@{3,5}:base-clique;{6}@{3,5}:cone;{5,6,8,10}@{1,4}:base-clique;{5,6,8,10}@{1,4}:cone;{4,5,6,8,10}@{2,3}:base-clique;{4,5,6,8,10}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0023,ddgp,2,10,2,2-4;7-9,"{1,2,3,4,7,9}","{4,7,9}",3,5,3,0,0,3,3,8,0,0,1,3,3,3,0,1,True,True,"{9}@{1,3}:cone;{7}@{1,4}:base-clique;{7}@{1,4}:cone;{4,7}@{1,3}:cone;{4,7,9}@{1,3}:base-clique",,8,1,3,0,True,True,True
ddgp-p2-n10-0024,ddgp,2,10,2,4-8;7-9,"{1,2,3,4,5,6,7,8,9}","{4,5,6,7,8,9}",6,12,6,9,3,6,3,8,0,0,1,16,6,6,0,1,True,True,"{9}@{5,8}:base-clique;{9}@{5,8}:cone;{8,9}@{5,6}:base-clique;{8,9}@{5,6}:cone;{7}@{3,6}:base-clique;{7}@{3,6}:cone;{6,7,8,9}@{1,3}:base-clique;{6,7,8,9}@{1,3}:cone;{5,8,9}@{1,4}:base-clique;{5,8,9}@{1,4}:cone;{4,5,8,9}@{1,2}:base-clique;{4,5,8,9}@{1,2}:cone",,8,1,3,0,True,True,True
ddgp-p2-n10-0025,ddgp,2,10,2,2-9;4-5,"{1,2,3,4,5,9}","{4,5,9}",3,6,3,0,0,3,3,8,0,0,1,4,3,3,0,1,True,True,"{9}@{1,4}:base-clique;{9}@{1,4}:cone;{5}@{1,2}:base-clique;{5}@{1,2}:cone;{4,9}@{1,3}:base-clique;{4,9}@{1,3}:cone",,8,1,3,0,True,True,True
ddgp-p2-n10-0026,ddgp,2,10,2,1-4;5-9,"{1,2,3,4,5,6,7,9}","{4,5,6,7,9}",5,9,5,11,4,5,1,2,0,0,1,14,5,5,0,1,True,True,"{9}@{6,7}:base-clique;{9}@{6,7}:cone;{7,9}@{2,3}:cone;{6,9}@{3,5}:base-clique;{6,9}@{3,5}:cone;{5,6,9}@{1,2}:base-clique;{5,6,9}@{1,2}:cone;{4}@{2,3}:cone;{4,7,9}@{2,3}:base-clique",,2,1,1,0,True,True,True
ddgp-p2-n10-0027,ddgp,2,10,2,6-10;7-9,"{1,2,3,4,6,7,8,9,10}","{4,6,7,8,9,10}",6,11,6,9,4,6,2,4,0,0,1,13,6,6,0,1,True,True,"{10}@{2,4}:cone;{9}@{4,8}:base-clique;{9}@{4,8}:cone;{8,9}@{6,7}:base-clique;{8,9}@{6,7}:cone;{7,8,9}@{2,4}:cone;{7,8,9,10}@{2,4}:base-clique;{6,8,9}@{3,4}:base-clique;{6,8,9}@{3,4}:cone;{4,6,7,8,9,10}@{1,3}:base-clique;{4,6,7,8,9,10}@{1,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0028,ddgp,2,10,2,6-10;7-8,"{1,2,3,4,5,6,7,8,10}","{4,5,6,7,8,10}",6,11,6,4,2,6,4,16,0,0,1,10,6,6,0,1,True,True,"{10}@{3,5}:base-clique;{10}@{3,5}:cone;{8}@{4,6}:base-clique;{8}@{4,6}:cone;{7}@{2,4}:cone;{6,8}@{1,4}:base-clique;{6,8}@{1,4}:cone;{5,10}@{2,4}:cone;{5,7,10}@{2,4}:base-clique;{4,5,6,7,8,10}@{2,3}:base-clique;{4,5,6,7,8,10}@{2,3}:cone",,16,1,4,0,True,True,True
ddgp-p2-n10-0029,ddgp,2,10,2,2-9;4-6,"{1,2,3,4,5,6,9}","{4,5,6,9}",4,8,4,4,2,4,2,4,0,0,1,8,4,4,0,1,True,True,"{9}@{1,5}:base-clique;{9}@{1,5}:cone;{6}@{1,3}:base-clique;{6}@{1,3}:cone;{5,9}@{3,4}:base-clique;{5,9}@{3,4}:cone;{4,5,9}@{2,3}:base-clique;{4,5,9}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0030,ddgp,2,10,2,4-7;5-7,"{1,2,3,4,5,6,7}","{4,5,6,7}",4,8,4,4,2,4,2,4,0,0,1,11,4,4,0,1,True,True,"{7}@{2,6}:base-clique;{7}@{2,6}:cone;{6,7}@{1,3}:base-clique;{6,7}@{1,3}:cone;{5}@{1,4}:base-clique;{5}@{1,4}:cone;{4,5}@{2,3}:base-clique;{4,5}@{2,3}:cone",,4,1,2,0,True,True,True
ddgp-p2-n10-0031,ddgp,2,10,2,4-5;6-9,"{1,2,3,4,5,6,7,9}","{4,5,6,7,9}",5,9,5,6,2,5,3,8,2,1,2,8,4,5,1,2,True,True,"{9}@{1,7}:base-clique;{9}@{1,7}:cone;{7,9}@{1,6}:base-clique;{7,9}@{1,6}:cone;{6,7,9}@{2,4}:base-clique;{6,7,9}@{2,4}:cone;{5}@{2,3}:cone;{4,6,7,9}@{2,3}:cone;{4,5,6,7,9}@{2,3}:base-clique","{7,9}@{1,6}:base-clique;{7,9}@{1,6}:cone",8,2,3,1,True,True,True
